ids,labels,parents
Community Beer Company - Dallas - TX - southwest,Community Beer Company,Dallas - TX - southwest
Comrade Brewing Company - Sullivan - CO - mountain,Comrade Brewing Company,Sullivan - CO - mountain
Country Boy Brewing - Lexington - KY - south,Country Boy Brewing,Lexington - KY - south
Creature Comforts - Athens-Clarke County - GA - south-atlantic,Creature Comforts,Athens-Clarke County - GA - south-atlantic
Crooked Stave Artisan Beer Project - Denver - CO - mountain,Crooked Stave Artisan Beer Project,Denver - CO - mountain
Cycle Brewing - Saint Petersburg - FL - south-atlantic,Cycle Brewing,Saint Petersburg - FL - south-atlantic
Dark Horse Brewing Company - Marshall - MI - great-lakes,Dark Horse Brewing Company,Marshall - MI - great-lakes
Deschutes Brewery - Bend - OR - northwest,Deschutes Brewery,Bend - OR - northwest
Disgruntled Brewing - Perham - MN - midwest,Disgruntled Brewing,Perham - MN - midwest
Dogfish Head Craft Brewery - Milton - DE - mid-atlantic,Dogfish Head Craft Brewery,Milton - DE - mid-atlantic
Double Mountain Brewery & Taproom - Hood River - OR - northwest,Double Mountain Brewery & Taproom,Hood River - OR - northwest
Dragoon Brewing Co. - Tucson - AZ - southwest,Dragoon Brewing Co.,Tucson - AZ - southwest
Druid City Brewing Company - Tuscaloosa - AL - south,Druid City Brewing Company,Tuscaloosa - AL - south
Dry Dock Brewing Co. - Aurora - CO - mountain,Dry Dock Brewing Co.,Aurora - CO - mountain
Epic Brewing Company - Salt Lake City - UT - mountain,Epic Brewing Company,Salt Lake City - UT - mountain
Equilibrium Brewery - Middletown - NY - mid-atlantic,Equilibrium Brewery,Middletown - NY - mid-atlantic
Ethereal Brewing - Lexington - KY - south,Ethereal Brewing,Lexington - KY - south
Evil Twin Brewing - New York City - NY - mid-atlantic,Evil Twin Brewing,New York City - NY - mid-atlantic
Fair State Brewing Cooperative - Minneapolis - MN - midwest,Fair State Brewing Cooperative,Minneapolis - MN - midwest
Fat Head's Brewery & Saloon - Middleburg Heights - OH - great-lakes,Fat Head's Brewery & Saloon,Middleburg Heights - OH - great-lakes
Fiddlehead Brewing Company - Shelburne - VT - new-england,Fiddlehead Brewing Company,Shelburne - VT - new-england
FiftyFifty Brewing Co. - Truckee - CA - pacific,FiftyFifty Brewing Co.,Truckee - CA - pacific
Finback Brewery - New York City - NY - mid-atlantic,Finback Brewery,New York City - NY - mid-atlantic
Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,Firestone Walker Brewing Co.,El Paso de Robles (Paso Robles) - CA - pacific
Flossmoor Station Restaurant & Brewery - Flossmoor - IL - great-lakes,Flossmoor Station Restaurant & Brewery,Flossmoor - IL - great-lakes
Foothills Brewing Company - Downtown Brewpub - Winston-Salem - NC - south-atlantic,Foothills Brewing Company - Downtown Brewpub,Winston-Salem - NC - south-atlantic
Forager Brewing Company - Rochester - MN - midwest,Forager Brewing Company,Rochester - MN - midwest
Foundation Brewing Company - Portland - ME - new-england,Foundation Brewing Company,Portland - ME - new-england
Founders Brewing Company - Grand Rapids - MI - great-lakes,Founders Brewing Company,Grand Rapids - MI - great-lakes
Freetail Brewing Company - San Antonio - TX - southwest,Freetail Brewing Company,San Antonio - TX - southwest
Fremont Brewing Company - Seattle - WA - northwest,Fremont Brewing Company,Seattle - WA - northwest
Funk Factory Geuzeria - Madison - WI - great-lakes,Funk Factory Geuzeria,Madison - WI - great-lakes
Funky Buddha Brewery - Oakland Park - FL - south-atlantic,Funky Buddha Brewery,Oakland Park - FL - south-atlantic
Gnarly Barley Brewing Company - Hammond - LA - south,Gnarly Barley Brewing Company,Hammond - LA - south
Good People Brewing Company - Birmingham - AL - south,Good People Brewing Company,Birmingham - AL - south
Goose Island Beer Co. - Chicago - IL - great-lakes,Goose Island Beer Co.,Chicago - IL - great-lakes
Great Divide Brewing Company - Denver - CO - mountain,Great Divide Brewing Company,Denver - CO - mountain
Great Lakes Brewing Co. - Cleveland - OH - great-lakes,Great Lakes Brewing Co.,Cleveland - OH - great-lakes
Great Notion Brewing - Portland - OR - northwest,Great Notion Brewing,Portland - OR - northwest
Great Raft Brewing - Shreveport - LA - south,Great Raft Brewing,Shreveport - LA - south
Green Man Brewery - Asheville - NC - south-atlantic,Green Man Brewery,Asheville - NC - south-atlantic
Grimm Artisanal Ales - New York City - NY - mid-atlantic,Grimm Artisanal Ales,New York City - NY - mid-atlantic
Hair Of The Dog Brewing Company / Brewery And Tasting Room - Portland - OR - northwest,Hair Of The Dog Brewing Company / Brewery And Tasting Room,Portland - OR - northwest
Half Acre Beer Company - Chicago - IL - great-lakes,Half Acre Beer Company,Chicago - IL - great-lakes
Hangar 24 Brewing - Redlands - CA - pacific,Hangar 24 Brewing,Redlands - CA - pacific
Hardywood Park Craft Brewery - Richmond - VA - south-atlantic,Hardywood Park Craft Brewery,Richmond - VA - south-atlantic
Haymarket Beer Co. Pub & Brewery - Chicago - IL - great-lakes,Haymarket Beer Co. Pub & Brewery,Chicago - IL - great-lakes
Heist Brewery - Charlotte - NC - south-atlantic,Heist Brewery,Charlotte - NC - south-atlantic
Hill Farmstead Brewery - Gebbie Corner - VT - new-england,Hill Farmstead Brewery,Gebbie Corner - VT - new-england
Holy Mountain Brewing Company - Seattle - WA - northwest,Holy Mountain Brewing Company,Seattle - WA - northwest
Hoof Hearted Brewing - Pagetown - OH - great-lakes,Hoof Hearted Brewing,Pagetown - OH - great-lakes
Hop Butcher For The World - Darien - IL - great-lakes,Hop Butcher For The World,Darien - IL - great-lakes
Horus Aged Ales - Oceanside - CA - pacific,Horus Aged Ales,Oceanside - CA - pacific
Hudson Valley Brewery - Beacon - NY - mid-atlantic,Hudson Valley Brewery,Beacon - NY - mid-atlantic
Huss Brewing Co - Desert Villas - AZ - southwest,Huss Brewing Co,Desert Villas - AZ - southwest
Indeed Brewing Company - Minneapolis - MN - midwest,Indeed Brewing Company,Minneapolis - MN - midwest
J. Wakefield Brewing - Miami - FL - south-atlantic,J. Wakefield Brewing,Miami - FL - south-atlantic
Jackie O's Pub & Brewery - Athens - OH - great-lakes,Jackie O's Pub & Brewery,Athens - OH - great-lakes
Jester King Brewery - Austin - TX - southwest,Jester King Brewery,Austin - TX - southwest
Kane Brewing Company - Ocean Township - NJ - mid-atlantic,Kane Brewing Company,Ocean Township - NJ - mid-atlantic
Karbach Brewing Co. - Houston - TX - southwest,Karbach Brewing Co.,Houston - TX - southwest
Kern River Brewing Company - Wofford Heights - CA - pacific,Kern River Brewing Company,Wofford Heights - CA - pacific
Kuhnhenn Brewing Company - Clinton Township - MI - great-lakes,Kuhnhenn Brewing Company,Clinton Township - MI - great-lakes
LIC Beer Project - New York City - NY - mid-atlantic,LIC Beer Project,New York City - NY - mid-atlantic
La Cumbre Brewing Co. - Albuquerque - NM - southwest,La Cumbre Brewing Co.,Albuquerque - NM - southwest
Lagunitas Brewing Company - Petaluma - CA - pacific,Lagunitas Brewing Company,Petaluma - CA - pacific
Lakewood Brewing Company - Garland - TX - southwest,Lakewood Brewing Company,Garland - TX - southwest
Lawson's Finest Liquids - Waitsfield - VT - new-england,Lawson's Finest Liquids,Waitsfield - VT - new-england
Lengthwise Brewing Company - Bakersfield - CA - pacific,Lengthwise Brewing Company,Bakersfield - CA - pacific
Lift Bridge Brewery - Stillwater - MN - midwest,Lift Bridge Brewery,Stillwater - MN - midwest
Live Oak Brewing Company - Austin - TX - southwest,Live Oak Brewing Company,Austin - TX - southwest
Logsdon Farmhouse Ales - Washougal - WA - northwest,Logsdon Farmhouse Ales,Washougal - WA - northwest
Lost Forty Brewery - Little Rock - AR - south,Lost Forty Brewery,Little Rock - AR - south
Madhouse Brewing Company - Des Moines - IA - midwest,Madhouse Brewing Company,Des Moines - IA - midwest
Maine Beer Company - Todds Corners - ME - new-england,Maine Beer Company,Todds Corners - ME - new-england
Martin House Brewing Company - Fort Worth - TX - southwest,Martin House Brewing Company,Fort Worth - TX - southwest
Melvin Brewing / Thai Me Up - Jackson - WY - mountain,Melvin Brewing / Thai Me Up,Jackson - WY - mountain
