,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region
226,Blanc De Blancs,260,4.51,Side Project Brewing,Bière de Champagne / Bière Brut,10.00%,midwest
227,Peche Du Fermier,180,4.52,Side Project Brewing,Belgian Saison,8.00%,midwest
228,Darkness,"4,073",4.48,Surly Brewing Company,Russian Imperial Stout,10.30%,midwest
229,Jammy,155,4.52,Side Project Brewing,American Wild Ale,8.00%,midwest
230,Abraxas,"2,875",4.47,Perennial Artisan Ales,American Imperial Stout,10.00%,midwest
231,Coffee Abraxas,615,4.47,Perennial Artisan Ales,American Imperial Stout,10.00%,midwest
232,Todd The Axe Man,"2,674",4.46,Surly Brewing Company,American IPA,7.20%,midwest
233,Barrel Aged Double Shot Double Black,314,4.47,Bent Paddle Brewing Co.,American Black Ale,11.20%,midwest
234,Vanilla Bean Abraxas,275,4.47,Perennial Artisan Ales,American Imperial Stout,10.00%,midwest
235,Darkness - Bourbon Barrel-Aged,247,4.46,Surly Brewing Company,Russian Imperial Stout,12.00%,midwest
236,Madagascar,874,4.44,4 Hands Brewing Co.,English Sweet / Milk Stout,9.30%,midwest
237,Russian Roulette,102,4.49,Minneapolis Town Hall Brewery,Russian Imperial Stout,9.30%,midwest
238,Stupid Good,48,4.55,Disgruntled Brewing,New England IPA,6.60%,midwest
239,Supa' Sumo,324,4.44,Toppling Goliath Brewing Company,American Imperial IPA,7.80%,midwest
240,Saison Du Fermier - Pinot Noir Puncheons,76,4.5,Side Project Brewing,Belgian Saison,7.00%,midwest
241,Sump Coffee Stout,"1,749",4.42,Perennial Artisan Ales,American Imperial Stout,10.50%,midwest
242,Derivation Blend #10,49,4.54,Side Project Brewing,American Imperial Stout,14.00%,midwest
243,Coffee Shop Vibes - Peruvian,62,4.51,Shared Brewing,American Imperial Stout,13.00%,midwest
244,Pseudo Sue - Mosaic Dry-Hopped,332,4.43,Toppling Goliath Brewing Company,American Pale Ale (APA),6.20%,midwest
245,Balaton,204,4.44,Side Project Brewing,American Wild Ale,5.00%,midwest
246,Breakfast Nook,21,4.69,Forager Brewing Company,American Imperial Porter,12.00%,midwest
247,Term Oil,48,4.53,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest
248,Barrel-Aged Vermilion Barleywine,79,4.48,Perennial Artisan Ales,British Barleywine,11.00%,midwest
249,Three Hour Tour,302,4.42,Minneapolis Town Hall Brewery,English Sweet / Milk Stout,6.10%,midwest
250,Saison Du Blé,535,4.41,Side Project Brewing,Belgian Saison,6.00%,midwest
251,O.W.K.,11,4.93,Side Project Brewing,American Imperial Stout,15.00%,midwest
252,XHops - Gold,579,4.4,Toppling Goliath Brewing Company,American Pale Ale (APA),5.30%,midwest
253,Bleuet Du Fermier,81,4.46,Side Project Brewing,Belgian Saison,8.00%,midwest
254,Oude Du Blé,71,4.47,Side Project Brewing,Belgian Saison,7.00%,midwest
255,Fencerow,213,4.41,Side Project Brewing,American Wild Ale,6.00%,midwest
256,Twisted Trace,174,4.41,Minneapolis Town Hall Brewery,American Barleywine,9.90%,midwest
257,Kriek Du Fermier,31,4.56,Side Project Brewing,Belgian Saison,8.00%,midwest
258,Pudding Dribbles,24,4.61,Forager Brewing Company,American Imperial Porter,11.30%,midwest
259,Apricot Funky Wit,32,4.55,Perennial Artisan Ales,Belgian Witbier,5.00%,midwest
260,Term Oil 18-A,22,4.63,Toppling Goliath Brewing Company,American Imperial Stout,Stout,midwest
